"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Senior Crown Advocate (Nat)","66410","71740","Senior Crown Advocate","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Senior Crown Prosecutor (Nat)","48077","55610","District Crown Prosecutor","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Senior Crown Prosecutor (Nat)","48077","55610","Senior Crown Prosecutor","60.66","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Senior Crown Prosecutor (Nat)","48077","55610","Senior Crown Prosecutor","9.75","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Senior Crown Prosecutor BAR","50519","62590","Senior Crown Prosecutor BAR","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Associate Prosecutor (Lon)","32040","36240","Associate Prosecutor","5.94","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Crown Advocate (Lon)","56460","64670","Crown Advocate","5.87","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Crown Advocate ABP (Lon)","65440","69430","Crown Advocate","7.49","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Crown Prosecutor (Lon)","40000","44660","Crown Prosecutor","19.60","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level B1 Legal Trainee (Lon)","26970","30110","Legal Trainee","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Legal Manager 1 (London)","63960","71310","District Crown Prosecutor","15.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Legal Manager 2 (London)","70890","79430","Senior District Crown Prosecutor","4.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level A2 (Lon)","20120","23520","Business Centre Administrator","1.40","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level A2 (Lon)","20120","23520","Casework Assistant","27.60","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level A2 (Lon)","20120","23520","Crown Advocacy Clerk","2.61","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level A2 (Lon)","20120","23520","Fees Clerk","2.83","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level A2 (Lon)","20120","23520","Victim Liaison Officer","2.10","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level A2 (Nat)","18736","21950","Casework Assistant","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level A2 (Nat)","18736","21950","Fees Clerk","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level A2 Apprentice (Lon)","20120","23520","Casework Assistant","7.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level A2 Apprentice (Nat)","16767","18900","Casework Assistant","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level B1 (Lon)","26970","30110","Advocacy Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level B1 (Lon)","26970","30110","Business Centre Support Manager","1.27","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level B1 (Lon)","26970","30110","Case Progression Manager","1.29","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level B1 (Lon)","26970","30110","Casework Administration Manager","6.94","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level B1 (Lon)","26970","30110","Communications Officer","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level B1 (Lon)","26970","30110","Complaints Co-ordinator","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level B1 (Lon)","26970","30110","Court Manager","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level B1 (Lon)","26970","30110","Courts Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level B1 (Lon)","26970","30110","Learning Operations Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level B1 (Lon)","26970","30110","Paralegal Officer","0.44","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level B1 (Lon)","26970","30110","Senior Personal Assistant","2.67","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level B1 (Lon)","26970","30110","Victim Liaison Officer","0.60","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level B1 (Nat)","25480","28430","Casework Administration Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level B1 Legal Trainee (Lon)","26970","30110","Legal Trainee","4.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level B1 Legal Trainee (Nat)","25480","28430","Legal Trainee","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level B1 Paralegal Off (Lon)","26970","30110","Paralegal Officer","27.06","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level B1 Paralegal Off (Lon)","26970","30110","Victim Liaison Officer","0.63","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level B2 (Lon)","31560","35020","Area Finance Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level B2 (Lon)","31560","35020","Area Performance Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level B2 (Lon)","31560","35020","Change Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level B2 (Lon)","31560","35020","Courts Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level B2 (Lon)","31560","35020","Facilities, Estates and Security Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level B2 (Lon)","31560","35020","HR Advisory Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level B2 Paralegal BM (Lon)","31560","35020","Paralegal Business Manager","8.54","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level B3 (Lon)","39750","45530","Area Communication Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level B3 (Lon)","39750","45530","Inclusion & Community Engagement Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level B3 (Lon)","39750","45530","Senior Business Manager","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level D Admin (Lon)","54760","65050","Head of Business Centre","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Level E Admin (Lon)","69680","79410","Area Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Paralegal Assistant (Lon)","20999","24590","Paralegal Assistant","13.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Senior Crown Advocate (Lon)","69300","74660","Senior Crown Advocate","4.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Senior Crown Prosecutor (Lon)","50519","62590","Senior Crown Prosecutor","80.05","Law"
"Crown Prosecution Service","Crown Prosecution Service","THAMES AND CHILTERN","CPS-G-012","Senior Crown Prosecutor BAR","50519","62590","Senior Crown Prosecutor","1.74","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Associate Prosecutor (Nat)","30930","34480","Associate Prosecutor","7.20","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Associate Prosecutor 2 (Nat)","34290","37780","Associate Prosecutor","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Crown Advocate (Nat)","51940","59930","Crown Advocate","4.41","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Crown Advocate ABP (Nat)","60810","64510","Crown Advocate","5.40","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Crown Prosecutor (Nat)","38000","42630","Crown Prosecutor","12.80","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Legal Manager 1 (National)","58040","66990","District Crown Prosecutor","14.43","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Legal Manager 2 (National)","67320","77300","Senior District Crown Prosecutor","1.92","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level A2 (Nat)","18736","21950","Business Support Officer","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level A2 (Nat)","18736","21950","Casework Administration Assistant","39.23","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level A2 (Nat)","18736","21950","Fees Clerk","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level A2 (Nat)","18736","21950","Support Officer","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level A2 (Nat)","18736","21950","Victim Liaison Assistant","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level A2 Apprentice (Nat)","16767","18900","Casework Administration Assistant","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level B1 (Nat)","25480","28430","Business Support Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level B1 (Nat)","25480","28430","Case Progression Officer","5.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level B1 (Nat)","25480","28430","Casework Administration Manager","5.46","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level B1 (Nat)","25480","28430","Court Manager","5.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level B1 (Nat)","25480","28430","Fees Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level B1 (Nat)","25480","28430","Learning and Development Team Leader","0.81","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level B1 (Nat)","25480","28430","Paralegal Officer","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level B1 (Nat)","25480","28430","Personal Assistant","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level B1 (Nat)","25480","28430","Victim Liaison Officer","2.23","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level B1 Legal Trainee (Nat)","25480","28430","Legal Trainee","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level B1 Paralegal Off (Nat)","25480","28430","Crown Advocacy Clerk","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level B1 Paralegal Off (Nat)","25480","28430","Paralegal Officer","22.42","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level B2 (Nat)","30130","33310","Change Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level B2 (Nat)","30130","33310","Courts Manager","0.92","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level B2 (Nat)","30130","33310","Facilities Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level B2 (Nat)","30130","33310","Fees Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level B2 (Nat)","30130","33310","HR Advisor","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level B2 (Nat)","30130","33310","Performance Manager","0.86","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level B2 (Nat)","30130","33310","Victim Liaison Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level B2 Paralegal BM (Nat)","30130","33310","Paralegal Business Manager","9.49","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level B3 (Nat)","38180","43390","Business Manager","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level B3 (Nat)","38180","43390","Communications Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level B3 (Nat)","38180","43390","Inclusion & Community Engagement Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level D Admin (Nat)","50850","59670","Head of Area Operations","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level D Admin (Nat)","50850","59670","Senior Operational Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Level E Admin (Nat)","67000","77290","Area Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Paralegal Assistant (Nat)","20251","23470","Paralegal Assistant","11.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Principal Crown Advocate (QC)","99790","120760","Crown Advocate","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Senior Crown Advocate (Nat)","66410","71740","Crown Advocate","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","CYMRU/WALES","CPS-G-029","Senior Crown Prosecutor (Nat)","48077","55610","Senior Crown Prosecutor","89.94","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Associate Prosecutor (Lon)","32040","36240","Associate Prosecutor","1.54","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Associate Prosecutor (Nat)","30930","34480","Associate Prosecutor","1.73","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Associate Prosecutor 2 (Lon)","36130","39540","Associate Prosecutor","3.14","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Associate Prosecutor 2 (Nat)","34290","37780","Associate Prosecutor","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","B1 Solicitor Apprentice (Lon)","26970","30110","Paralegal Officer","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","WESSEX","CPS-G-013","Crown Advocate (Lon)","56460","64670","Crown Advocate","0.42","Law"
